-0,7887	NaN	-0,7751	NaN	NaN	NaN	NaN	NaN
-0,7716	-0,779	-0,7595	-0,7766	NaN	NaN	NaN	NaN
-0,7564	-0,7636	-0,7439	-0,761	NaN	NaN	NaN	NaN
-0,7448	-0,7497	-0,7286	-0,7453	NaN	NaN	NaN	NaN
-0,7318	-0,7424	-0,7153	-0,7294	-0,7827	NaN	NaN	NaN
-0,7096	-0,718	-0,6974	-0,6988	-0,767	NaN	NaN	NaN
-0,6941	-0,7013	-0,6812	-0,6825	-0,7511	NaN	NaN	NaN
-0,6876	-0,6858	-0,6654	-0,6665	-0,7358	NaN	NaN	NaN
-0,664	-0,6783	-0,6554	-0,6524	-0,7207	NaN	NaN	NaN
-0,6461	-0,6567	-0,6361	-0,6379	-0,7044	NaN	-0,7929	-0,7953
-0,6358	-0,6383	-0,6188	-0,6206	-0,6881	NaN	-0,7769	-0,815
-0,6187	-0,614	-0,603	-0,6046	-0,672	NaN	-0,7611	-0,8514
-0,5995	-0,5956	-0,5995	-0,5896	-0,658	NaN	-0,7451	-0,8909
-0,5964	-0,5764	-0,5761	-0,5854	-0,6441	NaN	-0,5068	-1,2687
-0,57	-0,5621	-0,5585	-0,5623	-0,6266	NaN	-0,6091	-1,4505
-0,5563	-0,5641	-0,5436	-0,5464	-0,6104	NaN	-0,7884	-1,4633
-0,5436	-0,5352	-0,5502	-0,538	-0,5949	NaN	-0,8743	-1,466
-0,5272	-0,5183	-0,5187	-0,5274	-0,5866	NaN	-0,9868	-1,4733
-0,5176	-0,5212	-0,5032	-0,5097	-0,5701	NaN	-1,1998	-1,4673
-0,4995	-0,4978	-0,4953	-0,496	-0,554	NaN	-1,2218	-1,4506
-0,4892	-0,4795	-0,5098	-0,5008	-0,3874	NaN	-1,2378	-1,4071
-0,4842	-0,4846	-0,4704	-0,4823	-0,3729	-0,7916	-1,2331	-1,3541
-0,4602	-0,4608	-0,4589	-0,4676	-0,3628	-0,8881	-1,2207	-1,2986
-0,456	-0,4486	-0,4789	-0,4588	-0,3693	-0,9518	-1,2019	-1,2417
-0,4515	-0,478	-0,4513	-0,475	-0,3559	-0,983	-1,1467	-1,183
-0,4339	-0,4304	-0,4347	-0,4536	-0,7997	-1,0099	-1,0889	-1,1287
-0,4197	-0,4438	-0,449	-0,4425	-0,866	-1,021	-1,0359	-1,0754
-0,4088	-0,4166	-0,4392	-0,4619	-0,9048	-1,037	-0,9822	-1,0171
-0,4	-0,4399	-0,4213	-0,469	-0,9372	-1,0122	-0,9227	-0,9559
