0,29554	NaN	0,2897	NaN	NaN	NaN	NaN	NaN
0,28867	0,29098	0,28437	0,28963	NaN	NaN	NaN	NaN
0,28385	0,28575	0,27887	0,28449	NaN	NaN	NaN	NaN
0,28285	0,28198	0,27335	0,27891	NaN	NaN	NaN	NaN
0,27876	0,28356	0,26819	0,27264	0,29091	NaN	NaN	NaN
0,26733	0,26938	0,26156	0,2603	0,28552	NaN	NaN	NaN
0,26242	0,26348	0,25592	0,25495	0,2794	NaN	NaN	NaN
0,26451	0,25827	0,25008	0,2492	0,27198	NaN	NaN	NaN
0,25149	0,25838	0,24618	0,24228	0,26563	NaN	NaN	NaN
0,24495	0,24721	0,2378	0,23543	0,26066	NaN	0,29011	0,19257
0,24292	0,24045	0,23185	0,22988	0,25522	NaN	0,28569	0,17795
0,23512	0,23254	0,22599	0,22425	0,24935	NaN	0,28027	0,16043
0,22794	0,22366	0,22297	0,21771	0,24106	NaN	0,27293	0,14364
0,2287	0,21672	0,21334	0,21051	0,2338	NaN	0,22423	0,07126
0,21635	0,21118	0,20723	0,20412	0,22899	NaN	0,21339	0,03496
0,2114	0,21134	0,20115	0,19851	0,22355	NaN	0,13109	0,02857
0,20549	0,19868	0,19859	0,19101	0,21724	NaN	0,10623	0,02506
0,19932	0,19241	0,18795	0,18331	0,20774	NaN	0,07992	0,02275
0,19408	0,19097	0,18189	0,17783	0,20166	NaN	0,03616	0,02098
0,18705	0,18046	0,17593	0,17181	0,19624	NaN	0,02927	0,0195
0,18129	0,17366	0,17228	0,16334	0,16389	NaN	0,02627	0,01816
0,17773	0,17093	0,16203	0,15629	0,16018	0,08865	0,02457	0,01693
0,16826	0,16118	0,15592	0,1507	0,15598	0,06438	0,0229	0,01592
0,16333	0,15515	0,15104	0,14395	0,14485	0,04453	0,02149	0,01496
0,15894	0,15445	0,14179	0,13294	0,14204	0,03453	0,02002	0,01412
0,15118	0,14198	0,1357	0,12805	0,06395	0,03068	0,01883	0,01334
0,14417	0,13836	0,12954	0,12229	0,04373	0,02825	0,01635	0,01222
0,13768	0,1294	0,1212	0,11069	0,03598	0,02453	0,01522	0,01144
0,13156	0,12597	0,11543	0,10074	0,0326	0,02249	0,01421	0,01076
0,12645	0,11676	0,10847	0,05078	0,02992	0,02068	0,01336	0,01016
0,12285	0,11332	0,09924	0,04111	0,02591	0,0191	0,01255	0,00966
0,11356	0,10472	0,09468	0,03454	0,02387	0,0177	0,01136	0,00907
0,10977	0,09855	0,0873	0,03023	0,02173	0,01552	0,01064	0,00852
0,10326	0,0949	0,05959	0,02653	0,01971	0,01446	0,01004	0,00781
0,09696	0,08717	0,05269	0,02238	0,01749	0,01353	0,00931	0,00749
0,09061	0,08233	0,04287	0,0202	0,0161	0,01222	0,00879	0,00714
0,08712	0,05693	0,03408	0,01877	0,0149	0,01138	0,00832	0,0069
0,07314	0,04874	0,02902	0,01674	0,01345	0,01052	0,00794	0,00662
0,05948	0,04015	0,02604	0,01529	0,01262	0,00991	0,00756	0,00641
0,05147	0,03434	0,02315	0,01407	0,01154	0,00928	0,00724	0,00619
0,04392	0,02992	0,02107	0,01312	0,01066	0,00877	0,00697	0,00603
0,03885	0,02717	0,01959	0,01223	0,01	0,00828	0,00672	0,00587
0,0348	0,02509	0,01832	0,01137	0,0094	0,00788	0,00651	0,00574
0,03163	0,02365	0,01734	0,01053	0,00885	0,00755	0,00633	0,00565
0,02911	0,02236	0,01626	0,00985	0,00796	0,00723	0,00615	0,00557
0,02702	0,02147	0,01526	0,00922	0,00758	0,00693	0,00598	0,00547
0,02512	0,02079	0,01405	0,00856	0,00726	0,00668	0,00586	0,00539
0,02293	0,01947	0,01275	0,0078	0,00696	0,00628	0,00575	0,00534
0,0235	0,02	0,01247	0,00717	0,00623	0,00605	0,00567	0,0053
0,02435	0,02059	0,0119	0,00689	0,00584	0,0057	0,00558	0,00526
0,02543	0,02099	0,01143	0,00704	0,00555	0,00542	0,00539	0,00523
